xanthan,rpm_val,aer_val,placement,n_frames,n_bubbles,epsilon_obs_lower,epsilon_obs_mid,epsilon_obs_upper,a_obs_m2_m3_lower,a_obs_m2_m3_mid,a_obs_m2_m3_upper,mean_diameter_mm,a_specific_m2_m3,a_L_m2_m3
000 xanthan,75.0,55.0,placement_6,976.0,18930.0,0.017008036712349024,0.020299047924386925,0.023590059188021744,25.048107973060127,28.452784064738413,31.85746008248306,1.169560980516936,1360.2307142050456,32.184601919684404
000 xanthan,75.0,70.0,placement_1,982.0,31552.0,0.0005272628109856074,0.0006491235158520468,0.0007709842165789107,3.189023842507124,3.428593966774368,3.6681640775391338,0.38681257121976426,4687.16353925656,3.551727393165243
000 xanthan,75.0,70.0,placement_2,980.0,46193.0,0.009003404001361721,0.01044185745257754,0.011880310950614401,18.14537833805351,19.866727911661386,21.588077457639503,0.6770847106407444,1816.413790134995,21.32474122248905
000 xanthan,75.0,70.0,placement_3,970.0,28694.0,0.01966081017751533,0.0229395339520364,0.02621825774188172,29.261046373678248,32.635219541379556,36.00939274836275,1.0251036207883168,1375.2534238211363,36.42181239906105
000 xanthan,75.0,70.0,placement_4,975.0,24108.0,0.019952718165260508,0.0232144642744132,0.026476210379866316,27.516894204427885,30.654460964978927,33.792027645293395,1.041130055985662,1285.665709302696,34.1066919107571
000 xanthan,75.0,70.0,placement_5,965.0,21508.0,0.018700400195848024,0.022240808167934566,0.025781216172319956,26.781036829595696,30.40562654676835,34.03021613029806,1.1355815499459694,1327.8646445167994,34.38395219537641
000 xanthan,75.0,70.0,placement_6,969.0,21375.0,0.020455685400876403,0.02425325865433228,0.02805083184534761,29.242156131024217,33.091056065599716,36.93995585714531,1.1737238403702175,1324.786135222574,37.456579281488445
000 xanthan,75.0,80.0,placement_1,982.0,31955.0,0.0013528374675538578,0.0015148055905698885,0.0016767737145008898,4.440838902251796,4.702928159815319,4.965017425338199,0.4281138382020401,2944.800480993832,4.8473436662969736
000 xanthan,75.0,80.0,placement_2,978.0,47552.0,0.010123351042551416,0.011821802368457758,0.013520253759869216,20.587169452525202,22.680478896787335,24.773788398990813,0.7101677841603925,1832.0011187114112,24.50330549898206
000 xanthan,75.0,80.0,placement_3,963.0,30082.0,0.022467541007171486,0.025800370049657642,0.029133199142241696,31.69421104008388,35.056508366028375,38.41880583219807,1.033895294199118,1333.7351593082885,38.71530615642722
000 xanthan,75.0,80.0,placement_4,961.0,25569.0,0.02259651040100572,0.025658830273693374,0.028721150196223507,30.835484494145064,33.89273666096371,36.949988865553124,1.0771133469872396,1297.7586803265638,37.29181053985533
000 xanthan,75.0,80.0,placement_5,976.0,22546.0,0.021255080881485085,0.025063461978618806,0.028871843095379976,30.683043203599457,34.50936048954153,38.335677874872154,1.215862014726313,1335.6621957915372,38.905458760042585
000 xanthan,75.0,80.0,placement_6,975.0,23434.0,0.021821608489408083,0.025692968537754463,0.029564328560188133,32.39134422338795,36.44501192979811,40.498679607398984,1.2108954549755047,1377.4901972834934,41.13664288052822
000 xanthan,75.0,90.0,placement_1,971.0,32505.0,0.0006202375629643459,0.0007359025010149849,0.000851567432471483,3.5924223363079637,3.823517041679929,4.05461173217465,0.4065716093431615,4694.433311758571,3.928920273425278
000 xanthan,75.0,90.0,placement_2,982.0,51796.0,0.008471104730613256,0.009897726433735776,0.011324348166919077,20.805271294776066,22.816478245462026,24.827685226706226,0.730252695842145,2179.3756769034794,24.46095564824829
000 xanthan,75.0,90.0,placement_3,970.0,34535.0,0.023129617341295285,0.02659441926880897,0.030059221193422372,33.091838042081896,36.57562493883552,40.059411757079324,0.9987962989941477,1337.2191154965924,40.51291557635194
000 xanthan,75.0,90.0,placement_4,943.0,26257.0,0.024405987170457184,0.02790386780674839,0.03140174845813425,31.88786416936076,35.20717928427884,38.52649447457076,1.053727977107107,1237.3450225578135,39.054416964267276
000 xanthan,75.0,90.0,placement_5,970.0,25720.0,0.020351769847165836,0.023950201255129346,0.027548632643447413,31.58872308282856,35.51838900541778,39.448055009736336,1.1869302702121394,1441.8611110391234,39.865313270704995
000 xanthan,75.0,90.0,placement_6,977.0,23962.0,0.022559149645412294,0.02641034624194825,0.03026154274596532,33.075656936880684,37.14648500781871,41.217313068542346,1.195021717341052,1364.662022349532,41.93854577027371
000 xanthan,100.0,45.0,placement_1,982.0,39983.0,0.0015155322682474349,0.0017518896100729609,0.001988246967772782,5.476808307578347,5.82604944662485,6.175290550209581,0.44011468770710765,3086.8765837452556,6.0041650227424155
000 xanthan,100.0,45.0,placement_2,978.0,27582.0,0.011863023695146984,0.01427196298484296,0.01668090226273894,19.31690213835409,21.965895720265532,24.614889295968972,0.8384557581956235,1470.5321192269585,24.690850995957007
000 xanthan,100.0,45.0,placement_3,982.0,23777.0,0.022801968621323342,0.026633389533740084,0.030464810422101096,35.66946810553433,39.79736371967177,43.92525936308828,1.3374880787075807,1444.8816651477516,44.62571414229909
000 xanthan,100.0,45.0,placement_4,981.0,11034.0,0.011201597981058567,0.013363751264765153,0.015525904537498683,16.861409374215338,19.179425690958816,21.49744200119316,1.3007534026521321,1386.322398202229,21.588970614221935
000 xanthan,100.0,45.0,placement_5,982.0,22364.0,0.014605492658478084,0.017947310182157047,0.02128912776157815,26.64467773221628,30.544399883343274,34.444122060338174,1.212915461618443,1615.993267949604,34.74880101014924
000 xanthan,100.0,45.0,placement_6,998.0,22140.0,0.01693851917963214,0.020567038441252596,0.02419555778601548,29.956677780021078,34.1878836658663,38.4190894929734,1.2957878284633855,1589.2461903757196,38.84055465032565
000 xanthan,100.0,55.0,placement_1,982.0,42381.0,0.0011133710737416295,0.001274100821798476,0.0014348305725558183,5.571041216201578,5.867667623882746,6.164294043502948,0.44551913287319184,4244.407679390499,5.984706763797641
000 xanthan,100.0,55.0,placement_2,982.0,34221.0,0.013170249509154044,0.01568190014847705,0.01819355072366328,21.86041461083054,24.593463656548874,27.326512652023773,0.8169999365970757,1496.7975790869648,27.412999571826326
000 xanthan,100.0,55.0,placement_3,982.0,23890.0,0.023817347556499793,0.02785509657547174,0.0318928456287684,35.305999730058204,39.460223813648206,43.61444777045703,1.291882747573404,1371.1760521182853,44.367859069486016
000 xanthan,100.0,55.0,placement_4,981.0,17309.0,0.014483654553757209,0.01719765102247948,0.019911647476667346,21.36331126605427,24.16803320018021,26.972755094753357,1.1211129902307133,1355.9719635538995,27.187171777484455
000 xanthan,100.0,55.0,placement_5,982.0,22570.0,0.01569864331676139,0.019302307933787483,0.022905972558861766,27.52574976977199,31.58557875687528,35.645407736019216,1.2161740125738765,1553.3327707418841,36.06314159341987
000 xanthan,100.0,55.0,placement_6,982.0,22583.0,0.02002868490042394,0.023993779383252943,0.027958873756249943,33.52465963014379,38.02847599255166,42.53229231971097,1.3390736432518837,1525.8475224639606,43.138799247943425
000 xanthan,100.0,70.0,placement_1,982.0,50047.0,0.0008132536012538801,0.0008996162316201427,0.0009859788597211866,5.802893770744672,6.077121212071742,6.351348660931774,0.4461838294242412,6385.394055951555,6.100359362882378
