position,rpm,lmin,xanthan,rep,fluid,n_bursts,metric,dt_ms,tau_s,N,rho1,tau_int,N_eff,N_eff_ar1
1,100,45,000,rep_1,water,10,count,7.6923,0.22033761099757332,500.0,0.9283030615723076,28.643918073602602,17.4557125430681,18.59068210191812
1,100,45,000,rep_1,water,10,mean_diameter_mm,7.6923,0.12805014994130015,491.0,0.8463616005456005,16.64653613890516,29.495625750781148,40.85681488924957
1,100,45,000,rep_2,water,10,count,7.6923,0.16000056764828358,500.0,0.9129217637234213,20.80009459437146,24.0383522166914,22.76053258631044
1,100,45,000,rep_2,water,10,mean_diameter_mm,7.6923,0.10247825084118484,491.0,0.8370643365834596,13.32218593153996,36.855813492106364,43.54850787986369
1,100,45,0125,rep_1,xanthan,1,count,100.0,0.14271666699005905,500.0,0.14741893382021928,1.4271666699005905,350.344504636468,371.52126440043804
1,100,45,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.225796851417902,500.0,0.2669644293083366,2.2579685141790202,221.43798589760058,289.28814169307157
1,100,45,0125,rep_2,xanthan,1,count,100.0,0.13788952835195648,500.0,0.12296090976139092,1.3788952835195647,362.6091161351816,390.50294743784275
1,100,45,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.19331621716020145,500.0,0.2350600732046022,1.9331621716020146,258.6435878711868,309.6772146518401
1,100,45,025,rep_1,xanthan,1,count,100.0,0.3372688715095446,500.0,0.4082375655880412,3.372688715095446,148.24967325389534,210.10745944873835
1,100,45,025,rep_1,xanthan,1,mean_diameter_mm,100.0,1.3347572378636328,500.0,0.6541254196137634,13.347572378636327,37.4599954071261,104.5490796178557
1,100,45,025,rep_2,xanthan,1,count,100.0,0.2791453037582957,500.0,0.47496352960290517,2.7914530375829574,179.11818442517531,177.9828652910649
1,100,45,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.3968379390901868,500.0,0.5277380481220423,3.9683793909018674,125.99601770595031,154.56247635466084
1,100,55,000,rep_1,water,10,count,7.6923,0.20098697575958754,500.0,0.9363216525267145,26.128332977079356,19.136314606776356,16.443122295872524
1,100,55,000,rep_1,water,10,mean_diameter_mm,7.6923,0.08988971766985976,491.0,0.8648542153086365,11.685674982756751,42.01725623248242,35.58271726483314
1,100,55,000,rep_2,water,10,count,7.6923,0.1725462739597292,500.0,0.9136999734939606,22.431038045802843,22.29054219332292,22.547951011483818
1,100,55,000,rep_2,water,10,mean_diameter_mm,7.6923,0.16811780758858982,491.0,0.9005174527817773,21.855336841853518,22.46590860405879,25.70138496368545
1,100,55,0125,rep_1,xanthan,1,count,100.0,0.19440305843569172,500.0,0.12151826044768752,1.9440305843569172,257.19759967943065,391.64843343774015
1,100,55,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.39419900431722554,500.0,0.31594090245011064,3.9419900431722557,126.83948831023244,259.91254480967206
1,100,55,0125,rep_2,xanthan,1,count,100.0,0.1334042162888202,499.0,0.15318259946459944,1.3340421628882022,374.05114611944845,366.43102580922766
1,100,55,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.21209751559845352,499.0,0.29081020477163905,2.120975155984535,235.269139571024,274.15781693603753
1,100,55,025,rep_1,xanthan,1,count,100.0,0.5439231852022972,500.0,0.5300934740231666,5.439231852022972,91.92474481742101,153.55484287547475
1,100,55,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.4269993591780768,500.0,0.5518973547124375,4.269993591780768,117.09619446793569,144.37251404768156
1,100,55,025,rep_2,xanthan,1,count,100.0,0.3736628408747562,500.0,0.5272258074830667,3.736628408747562,133.8104690392774,154.7820205107997
1,100,55,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.4360856387640017,500.0,0.576187987720786,4.360856387640017,114.65637837034737,134.4420892624802
1,100,70,000,rep_1,water,10,count,7.6923,0.18279212930007122,500.0,0.9353204184042815,23.76300057200983,21.041113830925223,16.71030310553133
1,100,70,000,rep_1,water,10,mean_diameter_mm,7.6923,0.2254083203018363,491.0,0.931563048012156,29.30311094234966,16.755900114700562,17.39655532373798
1,100,70,000,rep_2,water,10,count,7.6923,0.29286306197440504,500.0,0.9716207077814618,38.07223612890878,13.132929684168014,7.196945159515895
1,100,70,000,rep_2,water,10,mean_diameter_mm,7.6923,0.28228541687475306,491.0,0.9453588074770655,36.69714089085879,13.379788944874107,13.791196475243117
1,100,70,0125,rep_1,xanthan,1,count,100.0,0.21669652855228344,499.0,0.07633676378456765,2.1669652855228345,230.2759547343666,428.2190949706825
1,100,70,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.2585059230192225,499.0,0.2487244711488384,2.585059230192225,193.03232752732492,300.21553798159374
