position,rpm,lmin,xanthan,rep,fluid,n_bursts,metric,dt_ms,tau_s,N,rho1,tau_int,N_eff,N_eff_ar1
1,100,80,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.25845603787699367,500.0,0.41060279054400134,2.5845603787699365,193.45649809812676,208.9167884138017
1,100,80,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.4305114908163601,500.0,0.6055583125740133,4.305114908163601,116.14091857382759,122.83630072383427
1,100,80,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.5913327519956618,500.0,0.44788133533243824,5.913327519956618,84.55476181770297,190.66433525810785
1,100,90,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.14237406446656006,491.0,0.9029773823802059,18.508646889299698,26.528141302639423,25.03345845957146
1,100,90,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.17479400190380862,491.0,0.9035301320468277,22.723242970738088,21.607831269167278,24.88361196261974
1,100,90,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.10376089615728,491.0,0.7161667865816463,13.48892998937639,36.40021857824911,81.20545676449117
1,100,90,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.2506781816888743,491.0,0.9049216927400221,32.58819620774987,15.066805074753853,24.506754814419747
1,100,90,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,492.0,-0.03238219558272277,1.0,492.0,524.9304404155612
1,100,90,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.12868371976043566,492.0,-0.010808166881957773,1.2868371976043564,382.3327464545888,502.75143956488495
1,100,90,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1,493.0,-0.004100527188179833,1.0,493.0,497.05976699247566
1,100,90,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.15750631309759053,493.0,0.08261621956360167,1.5750631309759053,313.00332685365976,417.75672263385513
1,100,90,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.3972879203533666,500.0,0.4553860581118772,3.9728792035336657,125.8533105047031,187.1029129530997
1,100,90,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.17579242938237175,500.0,0.24124946843029388,1.7579242938237174,284.4263554219585,305.63982135244555
1,100,90,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.4586322014477718,500.0,0.3648317160102334,4.586322014477718,109.01981989525416,232.69106239944827
1,100,90,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.23073678741911627,500.0,0.1579183549690198,2.3073678741911627,216.6971316506141,363.61874799605806
1,125,45,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.05234579678396037,491.0,0.8410373719907064,6.804960386875234,72.15324881934573,42.39492991289325
1,125,45,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.08809578761582737,491.0,0.8550858364070125,11.452463842521402,42.87287056755294,38.35555904085166
1,125,45,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.019307115962699187,491.0,0.5969360214122387,2.5099275850784792,195.6231737198297,123.92757808266828
1,125,45,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.09967947363200923,491.0,0.7394508646571926,12.95834453050573,37.890642500214305,73.54598399566207
1,125,45,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.11925533041731957,500.0,0.02556605040622633,1.1925533041731957,419.2684706422016,475.0712785431035
1,125,45,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.21383720389688698,500.0,0.10999470859390842,2.13837203896887,233.8227356550648,400.905195545261
1,125,45,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1,500.0,0.07092445245816023,1.0,500.0,433.77268368897273
1,125,45,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.15308623557651335,500.0,0.09239925326155045,1.5308623557651335,326.6132961706392,415.4162244383853
1,125,45,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.13889259493947043,500.0,0.25822338514709053,1.3889259493947042,359.9903941732104,294.7714307369169
1,125,45,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.15921707794476697,500.0,0.2646984753850233,1.5921707794476696,314.03666393968865,290.7023053028994
1,125,45,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.17662710060222697,500.0,0.21458002850162722,1.7662710060222695,283.0822667049407,323.3298560273999
1,125,45,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.2350298167683741,500.0,0.28370523448797313,2.3502981676837407,212.73896515553966,278.99503182976923
1,125,55,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.0966359646289212,491.0,0.8144814074315447,12.56268796444772,39.08399232628599,50.20146725011184
